Query,given Overlap%,given SpearmanCoefficient,live Overlap%,live SpearmanCoefficient
Query 1,30.0,0.5,40.0,-0.3999999999999999
Query 2,10.0,0.0,20.0,1.0
Query 3,10.0,0.0,0.0,0.0
Query 4,10.0,0.0,10.0,0.0
Query 5,10.0,0.0,10.0,0.0
Query 6,10.0,0.0,0.0,0.0
Query 7,0.0,0.0,10.0,0.0
Query 8,10.0,0.0,40.0,-0.8
Query 9,30.0,1.0,20.0,1.0
Query 10,0.0,0.0,10.0,0.0
Query 11,0.0,0.0,10.0,0.0
Query 12,20.0,1.0,30.0,-0.5
Query 13,0.0,0.0,20.0,1.0
Query 14,30.0,-0.5,30.0,1.0
Query 15,0.0,0.0,0.0,0.0
Query 16,0.0,0.0,0.0,0.0
Query 17,30.0,0.5,50.0,-0.10000000000000009
Query 18,20.0,1.0,20.0,1.0
Query 19,30.0,1.0,50.0,-0.3999999999999999
Query 20,10.0,0.0,20.0,1.0
Query 21,30.0,1.0,40.0,0.4
Query 22,20.0,1.0,30.0,-1.0
Query 23,30.0,0.5,30.0,-1.0
Query 24,30.0,-0.5,20.0,1.0
Query 25,30.0,1.0,20.0,-1.0
Query 26,10.0,0.0,10.0,0.0
Query 27,10.0,0.0,10.0,0.0
Query 28,10.0,0.0,20.0,1.0
Query 29,0.0,0.0,0.0,0.0
Query 30,10.0,0.0,0.0,0.0
Query 31,10.0,0.0,20.0,-1.0
Query 32,0.0,0.0,10.0,0.0
Query 33,40.0,0.8,20.0,-1.0
Query 34,10.0,0.0,10.0,0.0
Query 35,0.0,0.0,10.0,0.0
Query 36,10.0,0.0,0.0,0.0
Query 37,20.0,1.0,20.0,1.0
Query 38,10.0,0.0,10.0,0.0
Query 39,0.0,0.0,0.0,0.0
Query 40,10.0,0.0,30.0,1.0
Query 41,10.0,0.0,20.0,-1.0
Query 42,0.0,0.0,10.0,0.0
Query 43,0.0,0.0,0.0,0.0
Query 44,10.0,0.0,10.0,0.0
Query 45,30.0,0.5,20.0,-1.0
Query 46,40.0,0.0,20.0,-1.0
Query 47,20.0,-1.0,30.0,0.5
Query 48,20.0,1.0,0.0,0.0
Query 49,10.0,0.0,40.0,0.4
Query 50,0.0,0.0,0.0,0.0
Query 51,20.0,1.0,30.0,0.5
Query 52,30.0,0.5,0.0,0.0
Query 53,20.0,-1.0,20.0,1.0
Query 54,0.0,0.0,0.0,0.0
Query 55,20.0,-1.0,20.0,-1.0
Query 56,10.0,0.0,0.0,0.0
Query 57,10.0,0.0,10.0,0.0
Query 58,30.0,1.0,20.0,1.0
Query 59,0.0,0.0,10.0,0.0
Query 60,20.0,1.0,40.0,0.19999999999999996
Query 61,0.0,0.0,10.0,0.0
Query 62,10.0,0.0,10.0,0.0
Query 63,10.0,0.0,10.0,0.0
Query 64,10.0,0.0,20.0,1.0
Query 65,0.0,0.0,0.0,0.0
Query 66,10.0,0.0,10.0,0.0
Query 67,0.0,0.0,0.0,0.0
Query 68,30.0,0.5,30.0,-0.5
Query 69,20.0,1.0,10.0,0.0
Query 70,40.0,0.8,20.0,-1.0
Query 71,0.0,0.0,0.0,0.0
Query 72,20.0,1.0,10.0,0.0
Query 73,40.0,0.8,10.0,0.0
Query 74,20.0,-1.0,10.0,0.0
Query 75,10.0,0.0,20.0,1.0
Query 76,20.0,1.0,10.0,0.0
Query 77,10.0,0.0,10.0,0.0
Query 78,30.0,-0.5,0.0,0.0
Query 79,0.0,0.0,20.0,1.0
Query 80,10.0,0.0,10.0,0.0
Query 81,10.0,0.0,20.0,1.0
Query 82,10.0,0.0,30.0,1.0
Query 83,0.0,0.0,0.0,0.0
Query 84,0.0,0.0,0.0,0.0
Query 85,0.0,0.0,10.0,0.0
Query 86,10.0,0.0,10.0,0.0
Query 87,20.0,1.0,10.0,0.0
Query 88,0.0,0.0,0.0,0.0
Query 89,0.0,0.0,0.0,0.0
Query 90,30.0,0.5,30.0,0.5
Query 91,0.0,0.0,30.0,-0.5
Query 92,20.0,-1.0,10.0,0.0
Query 93,10.0,0.0,0.0,0.0
Query 94,0.0,0.0,10.0,0.0
Query 95,20.0,-1.0,0.0,0.0
Query 96,30.0,-0.5,30.0,-1.0
Query 97,10.0,0.0,20.0,1.0
Query 98,20.0,1.0,40.0,0.4
Query 99,0.0,0.0,10.0,0.0
Query 100,10.0,0.0,10.0,0.0
Averages,13.4,0.14900000000000002,14.9,0.067
